,Team,name,pos_keep,predicted_points
3447,IND,R.Turbin,RB,25.443510055541992
3448,IND,T.Hilton,WR,103.4788818359375
3449,IND,J.Doyle,TE,41.392066955566406
3450,IND,C.Rogers,WR,35.18528366088867
3451,IND,J.Brissett,QB,64.42168426513672
3452,IND,M.Mack,RB,77.1376953125
3453,PHI,K.Aiken,WR,30.44189453125
3454,MIA,F.Gore,RB,136.94329833984375
3455,JAX,C.Hyde,RB,72.08280944824219
3456,MIN,A.Robinson,WR,28.4927978515625
3457,SF,P.Garcon,WR,88.46061706542969
3458,SF,G.Celek,TE,47.633541107177734
3459,SF,K.Juszczyk,RB,20.600034713745117
3460,SF,M.Goodwin,WR,49.5035285949707
3461,SF,J.Garoppolo,QB,54.4515495300293
3462,SF,R.Mostert,RB,15.36381721496582
3463,SF,G.Kittle,TE,58.2110481262207
3464,SF,T.Taylor,WR,22.850997924804688
3465,SF,K.Bourne,WR,18.50320816040039
3466,SF,M.Breida,RB,66.17774963378906
3467,SF,C.Beathard,QB,66.50846862792969
3468,MIN,A.Abdullah,RB,40.88936996459961
3469,NO,D.Washington,RB,10.73459243774414
3470,DET,M.Stafford,QB,174.7809295654297
3471,DET,N.Bellore,RB,11.785538673400879
3472,DET,M.Jones,WR,88.7264633178711
3473,DET,T.Riddick,RB,74.55577850341797
3474,DET,T.Jones,WR,22.698715209960938
3475,DET,Z.Zenner,RB,36.86124801635742
3476,DET,M.Roberts,TE,20.206701278686523
3477,DET,K.Golladay,WR,59.320533752441406
3478,IND,E.Ebron,TE,53.81698226928711
3479,CLE,D.Fells,TE,22.862098693847656
3480,PHI,G.Tate,WR,99.10671997070312
3481,ATL,B.Hill,RB,4.079715728759766
3482,IND,R.Hewitt,TE,16.37783432006836
3483,OAK,B.LaFell,WR,58.544471740722656
3484,OAK,A.McCarron,QB,15.619035720825195
3485,CIN,A.Green,WR,135.1826629638672
3486,CIN,A.Dalton,QB,147.68580627441406
3487,CIN,G.Bernard,RB,74.93492889404297
3488,CIN,T.Eifert,TE,61.1761474609375
3489,CIN,C.Uzomah,TE,14.442870140075684
3490,CIN,T.Kroft,TE,20.840261459350586
3491,CIN,A.Erickson,WR,12.149266242980957
3492,CIN,T.Boyd,WR,43.345211029052734
3493,CIN,J.Ross,WR,25.038606643676758
3494,CIN,J.Malone,WR,8.305704116821289
3495,CIN,J.Mixon,RB,74.09844207763672
3496,NE,J.Hill,RB,52.383872985839844
3497,DAL,C.Beasley,WR,27.397258758544922
