,Team,name,pos_keep,predicted_points
3616,CHI,C.Daniel,QB,36.08875125710769
3617,CHI,T.Burton,TE,53.82194594928835
3618,CHI,T.Gabriel,WR,53.9971120607958
3619,CHI,B.Braunecker,TE,26.99912835547031
3620,CHI,T.Cohen,RB,95.6534127668964
3621,CHI,M.Trubisky,QB,127.75873561457877
3622,CHI,A.Shaheen,TE,29.5348149232187
3623,CHI,T.Mizzell,RB,28.898311460992485
3624,CHI,A.Miller,WR,55.567654998291296
3625,CHI,J.Wims,WR,34.40016835308775
3626,PHI,J.Howard,RB,97.23587517839022
3627,ARI,D.Johnson,RB,57.34740075355422
3628,HOU,D.Fells,TE,32.52914143123219
3629,CLE,J.Landry,WR,77.83783521723197
3630,CLE,R.Higgins,WR,58.956507000654305
3631,CLE,D.Njoku,TE,60.5761667390736
3632,CLE,D.Willies,WR,48.30896271348135
3633,CLE,D.Ratley,WR,38.795158750763
3634,CLE,A.Callaway,WR,64.78254591535068
3635,CLE,N.Chubb,RB,102.72364497895089
3636,CLE,B.Mayfield,QB,124.94696722675502
3637,LAC,T.Taylor,QB,43.52914430509455
3638,TB,B.Perriman,WR,51.7960667940391
3639,OAK,T.Williams,WR,26.509174336951517
3640,DEN,D.Jackson,RB,25.734476042582912
3641,BUF,C.Beasley,WR,30.22569927405982
3642,JAX,G.Swaim,TE,40.111299534691064
3643,DAL,T.Austin,WR,27.43380426890552
3644,DAL,A.Hurns,WR,37.24201690570542
3645,DAL,A.Cooper,WR,79.59798228059324
3646,DAL,E.Elliott,RB,142.28626667888977
3647,DAL,D.Prescott,QB,127.56968265779145
3648,DAL,N.Brown,WR,28.52338157786338
3649,DAL,R.Gathers,TE,30.607158731414714
3650,DAL,B.Jarwin,TE,51.5677430201241
3651,DAL,D.Schultz,TE,33.60959164459316
3652,DAL,M.Gallup,WR,60.67481519052027
3653,NYG,R.Smith,RB,21.478064842312346
3654,OAK,L.Willson,TE,39.480621916591936
3655,DET,M.Stafford,QB,174.3845739856139
3656,DET,M.Jones,WR,49.395852731608414
3657,DET,T.Riddick,RB,54.16172205000252
3658,DET,K.Golladay,WR,96.39275961507735
3659,DET,A.Jones,WR,36.505403644426146
3660,DET,K.Johnson,RB,102.34653423554442
3661,DET,B.Powell,WR,40.827471692975074
3662,PIT,T.Jones,WR,28.79684454957564
3663,OAK,R.Grant,WR,53.377931485757614
3664,OAK,E.Swoope,TE,48.29722949296373
3665,IND,T.Hilton,WR,87.31833521522046
3666,IND,A.Luck,QB,152.81890178821692
3667,IND,J.Doyle,TE,29.948907976378408
3668,IND,E.Ebron,TE,62.39692905889337
3669,IND,C.Rogers,WR,50.622395541171315
3670,IND,J.Brissett,QB,18.71128126716663
3671,IND,M.Johnson,WR,30.629407354729008
3672,IND,M.Mack,RB,86.08484899599901
3673,IND,M.Alie-Cox,TE,33.5529092634684
3674,IND,N.Hines,RB,71.85286223628452
3675,IND,J.Wilkins,RB,48.4456657745781
3676,NE,D.Inman,WR,51.00573958351997
3677,OAK,D.Washington,RB,55.979181377568764
3678,NO,D.Brees,QB,190.3947883114153
3679,NO,T.Ginn,WR,32.382828377959
3680,NO,J.Hill,TE,49.063261359990186
3681,NO,T.Bridgewater,QB,39.45553322826126
3682,NO,C.Meredith,WR,57.47848632363788
3683,NO,M.Thomas,WR,122.02235672930544
3684,NO,A.Kamara,RB,141.68175802655674
3685,NO,T.Hill,QB,52.70934956368478
3686,NO,A.Carr,WR,51.57888657372169
3687,NO,K.Kirkwood,WR,62.2931524987941
3688,BAL,M.Ingram,RB,80.77180878133817
3689,DET,T.Lewis,WR,29.030773542807303
3690,CAR,T.Smith,WR,54.89399369775424
3691,NE,B.Watson,TE,43.67466096034012
3692,GB,J.Williams,RB,33.208582117001434
3693,OAK,I.Crowell,RB,83.37182019529968
3694,BUF,A.Roberts,WR,7.64478147491754
3695,NO,R.Matthews,WR,54.1311303895709
3696,NYJ,B.Powell,RB,48.48268950133436
3697,NYJ,Q.Enunwa,WR,57.24302036419877
3698,NYJ,R.Anderson,WR,73.38050184939755
3699,NYJ,C.Peake,WR,35.276783813102384
3700,NYJ,E.Tomlinson,TE,36.168001678832546
3701,NYJ,E.McGuire,RB,68.25581055794281
3702,NYJ,T.Cannon,RB,51.31165651580975
3703,NYJ,D.Burnett,WR,55.097243344019915
3704,NYJ,C.Herndon,TE,68.44900365509288
3705,NYJ,S.Darnold,QB,111.12846159158116
3706,DET,J.Kearse,WR,47.59644878917953
3707,ATL,J.Jones,WR,34.21303038679772
3708,TB,J.Leggett,TE,41.36753844192401
3709,KC,N.Sterling,TE,43.48983818129684
3710,LA,D.Henderson,RB,30.144163576469378
3711,OAK,J.Nelson,WR,86.59357044235344
3712,OAK,D.Martin,RB,89.3121573643742
3713,OAK,D.Carrier,TE,42.169514562995936
3714,OAK,D.Carr,QB,128.68823785978077
3715,OAK,D.Waller,TE,45.79908399909579
3716,OAK,D.Washington,RB,44.630588383188964
3717,OAK,J.Richard,RB,80.20548812117585
3718,OAK,K.Hatcher,WR,39.29489181513512
3719,OAK,M.Ateman,WR,53.83897333822851
3720,BUF,L.Smith,TE,10.76476324751718
3721,NO,J.Cook,TE,83.66052771765766
3722,NO,D.Harris,WR,28.5264317181514
3723,BAL,S.Roberts,WR,53.41708272805721
3724,HOU,A.McCarron,QB,15.275667213334993
3725,OAK,A.Brown,WR,169.54579126430056
3726,DET,J.James,TE,50.35654303288031
3727,PIT,B.Roethlisberger,QB,187.41428041005673
3728,PIT,V.McDonald,TE,48.760309434378954
3729,PIT,X.Grimble,TE,21.133781831450193
3730,PIT,E.Rogers,WR,24.914681405918436
3731,PIT,J.Conner,RB,112.17010850443151
3732,PIT,R.Switzer,WR,29.052101553231683
3733,PIT,J.Smith-Schuster,WR,104.52090611087343
3734,PIT,J.Dobbs,QB,17.26182424357131
3735,PIT,J.Samuels,RB,59.59811255640848
3736,PIT,J.Washington,WR,36.37877258023916
3737,MIA,M.Walton,RB,31.488298643245678
3738,BUF,T.Kroft,TE,9.745899475641597
3739,CIN,A.Green,WR,100.90161397966597
3740,CIN,A.Dalton,QB,102.21642071122128
3741,CIN,G.Bernard,RB,47.292507459050995
3742,CIN,T.Eifert,TE,40.781585648361556
3743,CIN,C.Uzomah,TE,51.97141469342118
3744,CIN,A.Erickson,WR,27.972382882968212
3745,CIN,C.Core,WR,42.00252390356846
3746,CIN,T.Boyd,WR,85.57740996227784
3747,CIN,J.Ross,WR,44.36639714959847
3748,CIN,J.Malone,WR,27.0246799914242
3749,CIN,J.Mixon,RB,116.82163750588239
3750,CIN,J.Driskel,QB,62.79977154313775
3751,CIN,J.Franks,TE,32.20775946257327
3752,CIN,A.Tate,WR,29.270823372541326
3753,MIA,K.Stills,WR,46.45740263053477
3754,MIA,B.Butler,WR,28.386802237205565
3755,MIA,A.Wilson,WR,50.49988535880618
3756,MIA,D.Parker,WR,45.14899128118581
3757,MIA,N.O'Leary,TE,32.27177064492649
3758,MIA,J.Grant,WR,37.99187698951936
3759,MIA,K.Drake,RB,74.8551930902868
3760,MIA,D.Smythe,TE,29.466785130157906
3761,MIA,K.Ballage,RB,43.74489991484957
3762,MIA,M.Gesicki,TE,38.951475738942605
3763,TEN,R.Tannehill,QB,63.68873913951371
3764,BUF,F.Gore,RB,80.94150433895078
3765,BUF,S.Perry,RB,3.9360241121588153
3766,DET,D.Amendola,WR,72.557303437722
3767,NE,B.Bolden,RB,37.47186147605292
3768,MIA,D.Allen,TE,31.94588992587743
3769,BAL,J.Hill,RB,39.55931802503053
3770,CAR,C.Hogan,WR,47.05673257950883
