PLAYER,POS,TEAM,AGE,YRS,DOLLARS,AVERAGE SALARY,GUARANTEED ,PRACTICAL GUARANTEES,% GTD,FREE AGENT
Eric Ebron (2018-2019),TE,IND,26,2,"$13,000,000 ","$6,500,000 ","$6,500,000 ","$6,500,000 ",50.00%,2020
Jaquiski Tartt (2018-2020),FS,SF,27,2,"$13,000,000 ","$6,500,000 ","$5,521,865 ","$8,521,865 ",65.55%,2021
Trae Waynes (2015-2019),CB,MIN,26,4,"$12,944,368 ","$3,236,092 ","$12,944,368 ","$12,944,368 ",100.00%,2020
Garrett Bradbury (2019-2023),C,MIN,24,4,"$12,882,870 ","$3,220,718 ","$12,882,870 ","$12,882,870 ",100.00%,2024
Derek Barnett (2017-2021),DE,PHI,23,4,"$12,850,772 ","$3,212,693 ","$12,850,772 ","$12,850,772 ",100.00%,2022
Sheldon Rankins (2016-2020),DT,NO,25,4,"$12,801,648 ","$3,200,412 ","$12,801,648 ","$12,801,648 ",100.00%,2021
Jeffery Simmons (2019-2023),DT,TEN,21,4,"$12,663,754 ","$3,165,939 ",-,"$12,663,754 ",100.00%,2024
Tremaine Edmunds (2018-2021),ILB,BUF,21,4,"$12,659,544 ","$3,164,886 ","$12,659,544 ","$12,659,544 ",100.00%,2023
Matt Bosher (2015-2019),P,ATL,31,5,"$12,655,000 ","$2,531,000 ","$6,000,000 ","$6,000,000 ",47.41%,2020
Brett Kern (2019-2022),P,TEN,33,4,"$12,650,000 ","$3,162,500 ","$4,000,000 ","$4,000,000 ",31.62%,2023
Spencer Long (2019-2021),C,BUF,28,3,"$12,600,000 ","$4,200,000 ","$1,200,000 ","$1,200,000 ",9.52%,2022
Malik Hooker (2017-2021),S,IND,23,4,"$12,599,908 ","$3,149,977 ","$12,599,908 ","$12,599,908 ",100.00%,2022
Noah Fant (2019-2023),TE,DEN,21,4,"$12,590,721 ","$3,147,680 ","$9,883,805 ","$9,883,805 ",78.50%,2024
Darnell Savage (2019-2023),S,GB,21,4,"$12,517,688 ","$3,129,422 ","$12,517,688 ","$12,517,688 ",100.00%,2024
Laremy Tunsil (2016-2020),LT,MIA,24,4,"$12,457,650 ","$3,114,413 ","$12,457,650 ","$12,457,650 ",100.00%,2021
Shamar Stephen (2019-2021),DT,MIN,28,3,"$12,450,000 ","$4,150,000 ","$4,900,000 ","$6,000,000 ",48.19%,2022
Derwin James (2018-2021),S,LAC,22,4,"$12,388,956 ","$3,097,239 ","$12,388,956 ","$12,388,956 ",100.00%,2023
Andre Dillard (2019-2023),T,PHI,22,4,"$12,370,584 ","$3,092,646 ","$12,370,584 ","$12,370,584 ",100.00%,2024
Tytus Howard (2019-2023),T,HOU,23,4,"$12,225,550 ","$3,056,388 ","$12,225,550 ","$12,225,550 ",100.00%,2024
Kyle Long (2019-2020),G,CHI,30,2,"$12,200,000 ","$6,100,000 ","$4,000,000 ","$4,000,000 ",32.79%,2021
Jaire Alexander (2018-2021),CB,GB,22,4,"$12,050,687 ","$3,012,672 ","$12,050,687 ","$12,050,687 ",100.00%,2023
Chris Harris (2019-2019),CB,DEN,30,1,"$12,050,000 ","$12,050,000 ",-,-,-,2020
Corey Peters (2017-2020),DT,ARI,31,3,"$12,000,000 ","$4,000,000 ","$4,000,000 ","$7,250,000 ",60.42%,2021
Mark Barron (2019-2020),ILB,PIT,29,2,"$12,000,000 ","$6,000,000 ","$5,750,000 ","$5,750,000 ",47.92%,2021
Senio Kelemete (2018-2020),G,HOU,29,3,"$12,000,000 ","$4,000,000 ","$5,000,000 ","$5,000,000 ",41.67%,2021
James White (2017-2020),RB,NE,27,3,"$12,000,000 ","$4,000,000 ","$4,690,000 ","$4,690,000 ",39.08%,2021
